date,earnings,total,normalized
3/30/2016,0,0,0
6/20/2016,0.01,0.01,0.007662903
6/30/2016,0.49,0.5,0.383145146
9/20/2016,0.01,0.51,0.390808049
10/3/2016,0.02,0.53,0.406133855
10/4/2016,0.02,0.55,0.421459661
10/7/2016,0.03,0.58,0.444448369
10/11/2016,0.01,0.59,0.452111272
10/15/2016,0.01,0.6,0.459774175
10/17/2016,0.01,0.61,0.467437078
10/21/2016,0.02,0.63,0.482762884
10/22/2016,0.49,1.12,0.858245127
10/23/2016,0.01,1.13,0.86590803
10/25/2016,0.01,1.14,0.873570933
10/26/2016,0.01,1.15,0.881233836
10/28/2016,0.03,1.18,0.904222545
10/31/2016,0.02,1.2,0.91954835
11/6/2016,0.01,1.21,0.927211253
11/10/2016,0.01,1.22,0.934874156
11/11/2016,0.01,1.23,0.942537059
11/16/2016,0.01,1.24,0.950199962
12/8/2016,0.01,1.25,0.957862865
12/12/2016,0.01,1.26,0.965525768
12/13/2016,0.15,1.41,1.080469312
12/14/2016,0.01,1.42,1.088132215
12/15/2016,0.01,1.43,1.095795118
1/1/2017,0.01,1.44,1.103458021
1/5/2017,0.01,1.45,1.111120923
1/7/2017,0.01,1.46,1.118783826
1/8/2017,0.01,1.47,1.126446729
1/13/2017,0.01,1.48,1.134109632
1/20/2017,0.01,1.49,1.141772535
1/28/2017,0.01,1.5,1.149435438
2/3/2017,0.01,1.51,1.157098341
2/8/2017,0.01,1.52,1.164761244
2/10/2017,0.28,1.8,1.379322526
2/18/2017,0.01,1.81,1.386985429
2/21/2017,0.02,1.83,1.402311234
2/22/2017,0.01,1.84,1.409974137
2/23/2017,0.01,1.85,1.41763704
2/24/2017,0.01,1.86,1.425299943
2/26/2017,0.02,1.88,1.440625749
2/27/2017,0.01,1.89,1.448288652
3/4/2017,0.03,1.92,1.471277361
3/7/2017,0.01,1.93,1.478940264
3/9/2017,0.02,1.95,1.49426607
3/10/2017,0.01,1.96,1.501928972
3/11/2017,0.07,2.03,1.555569293
3/13/2017,0.01,2.04,1.563232196
3/14/2017,0.02,2.06,1.578558002
3/15/2017,0.01,2.07,1.586220905
3/16/2017,0.03,2.1,1.609209613
3/17/2017,0.02,2.12,1.624535419
3/20/2017,0.01,2.13,1.632198322
3/21/2017,0.01,2.14,1.639861225
3/22/2017,0.02,2.16,1.655187031
3/23/2017,0.05,2.21,1.693501545
3/24/2017,0.02,2.23,1.708827351
3/26/2017,0.02,2.25,1.724153157
3/29/2017,0.01,2.26,1.73181606
3/31/2017,0.01,2.27,1.739478963
4/3/2017,0.01,2.28,1.747141866
4/4/2017,1.14,3.42,2.620712799
4/5/2017,0.02,3.44,2.636038605
4/6/2017,0.01,3.45,2.643701508
4/7/2017,0.03,3.48,2.666690216
4/8/2017,0.01,3.49,2.674353119
4/9/2017,0.01,3.5,2.682016022
4/10/2017,0.02,3.52,2.697341828
4/11/2017,0.02,3.54,2.712667634
4/12/2017,0.01,3.55,2.720330537
4/13/2017,0.04,3.59,2.750982148
4/14/2017,0.01,3.6,2.758645051
4/15/2017,0.01,3.61,2.766307954
4/18/2017,0.01,3.62,2.773970857
