month,year,posts,Global Alexa ranking for hendrixjoseph.github.io,US Alexa ranking for hendrixjoseph.github.io,Alexa Total Sites Linking In for hendrixjoseph.github.io,Global Alexa ranking for joehxblog.com,US Alexa ranking for joehxblog.com,Alexa Total Sites Linking In for joehxblog.com,Google Analytics Sessions,Google Analytics Users,Google Analytics Pageviews,Google Search Console clicks for hendrixjoseph.github.io,Google Search Console search impressions for hendrixjoseph.github.io,Google Search Console average position for hendrixjoseph.github.io,Google Search Console clicks for joehxblog.com,Google Search Console search impressions for joehxblog.com,Google Search Console average position for joehxblog.com,AdSense balance,AdSense earnings,AdSense Impressions,AdSense Clicks,Moz DA,Moz Linking Domains
July,2023,2,,,,,,,,6200,9700,,,,5430,106000,30.4,$68.28 ,$39.50 ,35425,124,30,939
June,2023,3,,,,,,,,5300,,,,,4700,95700,32.3,$27.91 ,$36.64 ,27480,121,30,911
May,2023,6,,,,,,,6676,6133,7305,,,,5550,182000,30.3,$130.01 ,$32.95 ,33034,125,30,875
April,2023,4,,,,,,,5996,5439,6636,,,,4920,115000,28.8,$91.79 ,$36.60 ,26627,118,31,865
March,2023,2,,,,,,,5528,5047,6209,,,,4190,128000,32,$46.11 ,$47.41 ,20641,119,30,887
February,2023,4,,,,,,,5947,5506,6545,,,,4910,132000,31,$145.32 ,$52.25 ,24248,141,31,890
January,2023,5,,,,,,,5580,5115,6151,,,,4280,125000,33.5,$99.59 ,$31.67 ,19085,85,31,895
December,2022,3,,,,2183763,,,7323,6719,8178,,,,6060,147000,31.4,$52.12 ,$52.10 ,29004,132,31,880
November,2022,3,,,,2404646,,,6937,6210,7630,,,,5720,146000,31,$100.01 ,$58.25 ,29261,152,32,846
October,2022,3,,,,2660483,,,6326,5739,7073,,,,5160,146000,36.2,$53.19 ,$44.71 ,25977,119,32,830
September,2022,5,,,,1643564,,,6676,6050,7415,,,,4870,138000,38.4,$113.42 ,$55.31 ,25788,140,32,829
August,2022,3,,,,1844381,,,6931,6350,7657,,,,4910,144000,39,$57.01 ,$64.10 ,26467,141,32,828
July,2022,3,,,,1849036,,,5658,5124,6352,,,,4650,128000,39.1,$143.50 ,$59.68 ,20781,146,31,828
June,2022,3,,,,2609749,,,5189,4670,5812,,,,4140,118000,36.2,$66.54 ,$77.38 ,16766,152,32,878
May,2022,3,,,,2229192,,,5308,4872,6349,,,,3500,91700,33.3,$135.80 ,$61.29 ,14243,119,33,897
April,2022,4,,,,1402153,,,6743,6000,7632,,,,5380,119000,29.6,$73.15 ,$72.77 ,21469,128,33,888
March,2022,4,,,,1230847,,,5590,4985,6315,,,,4450,109000,30.8,$145.37 ,$66.13 ,17703,122,33,821
February,2022,2,,,,1349299,,,5807,5109,6522,,,,4350,120000,33.7,$68.33 ,$72.56 ,17537,137,33,790
January,2022,4,,,,2440262,,,5648,4993,6612,,,,3950,104000,33.8,$143.66 ,$98.65 ,17336,165,33,735
December,2021,2,,,,3989669,,,6682,5953,8268,,,,5060,115000,33.7,$210.94 ,$142.54 ,19726,179,33,686
November,2021,3,,,,3202104,,,5604,4937,6522,,,,3960,125000,35.4,$93.89 ,$104.22 ,17499,173,33,629
